GRBa	GRB X-ray position	Error	Instrument	IPNb	XAb	OTb	RAb	IAUC	zc
190404A	00h48m21s +27° 29'	60	MAXI	y	 	 	 	 	 
190331B	21h45m02s -54° 33'	3	Swift	 	 	 	 	 	 
190331A	01h54m18s +27° 37'	3	Swift	y	 	 	 	 	 
190329A	22h13m05s +19° 38'	64*8	IPN	y	 	 	 	 	 
190326AS	22h46m37s +49° 54'	3	Swift	y	 	 	 	 	 
190324A	03h18m18s -47° 14'	3	Swift	y	y	y	 	 	 
190320A	07h51m15s -45° 53'	3	Swift	y	y	 	 	 	 
190311A	14h08m24s +53° 31'	3	Swift	y	y	y	 	 	 
190306A	14h52m01s +30° 33'	60	MAXI	y	 	 	 	 	 
190305A	00h45m31s -50° 12'	60	MAXI	y	 	 	 	 	 
190304A	01h07m38s -80° 42'	65*10	IPN	 	 	 	 	 	 
190220B	16h09m54s -21° 08'	3	INTEGRAL	 	 	 	 	 	 
190220A	22h00m34s -76° 41'	3	Swift	 	y	y	 	 	 
190219A	12h39m02s +76° 37'	3	Swift	 	y	 	 	 	 
190211A	13h06m42s +41° 58'	3	Swift	 	y	y	 	 	 
190204A	23h26m08s +54° 53'	3	Swift	y	y	y	 	 	 
190203A	01h30m18s +55° 55'	3	Swift	y	y	y	 	 	 
190202A	11h06m03s +09° 23'	3	Swift	y	y	y	 	 	 
190129B	07h49m08s +01° 15'	122*13	IPN	y	y	 	 	 	 
190129A	00h45m44s -31° 48'	60	MAXI	y	 	 	 	 	 
190123A	03h32m55s +45° 29'	3	Swift	y	y	 	 	 	 
190122A	17h14m50s +48° 07'	55	Fermi	y	 	 	 	 	 
190117A	07h35m27s +06° 31'	202*14	IPN	y	 	 	 	 	 
190114C	03h38m02s -26° 56'	3	Swift	y	y	y	y	 	0.425
190114B	11h39m32s +18° 53'	3	Swift	 	y	y	 	 	 
190114A	04h22m11s +02° 10'	3	Swift	 	y	y	 	 	3.3765
190110A	18h27m32s -53° 41'	3	Swift	y	 	 	 	 	 
190109B	03h42m23s +63° 35'	3	Swift	y	y	 	 	 	 
190109A	02h12m52s +38° 07'	3	Swift	y	y	 	 	 	 
190106A	01h59m33s +23° 51'	3	Swift	 	y	y	 	 	1.859
190103B	14h10m18s +35° 16'	3	Swift	y	y	 	 	 	 
190103A	16h45m38s +17° 23'	161*26	Agile	y	 	 	 	 	 
181231A	16h58m22s +00° 37'	14	Fermi	 	 	 	 	 	 
181228A	03h19m19s +13° 12'	3	Swift	y	y	y	 	 	 
181227A	01h59m33s -53° 19'	167*28	Fermi	y	 	 	 	 	 
181225A	23h12m17s -09° 29'	8	AGILE	y	 	 	 	 	 
181224A	08h23m43s +06° 12'	3	Swift	 	 	 	 	 	 
181222A	18h03m54s -38° 42'	60	MAXI		 	 	 	 	 
181213A	16h32m50s +78° 30'	3	Swift	y	y	y	 	 	<2.4
181212A	20h02m39s +00° 19'	326*29	Fermi	y	 	 	 	 	 
181205A	13h19m49s +08° 12'	2	INTEGRAL	 	 	 	 	 	 
181203A	07h13m29s -39° 46'	3	Swift	 	y	 	 	 	 
181202A	18h42m59s +27° 67'	3	Swift	 	y	y?	 	 	 
181201A	21h17m17s -12° 38'	3	INTEGRAL	y	y	y	y	 	<1.88
181127A	19h01m22s +31° 41'	2.5	INTEGRAL	 	 	 	 	 	 
181126AS	10h09m24s -29° 41'	3	Swift	y	y	 	 	 	 
181125A	17h53m39s -02° 37'	3	Swift	y	 	 	 	 	 
181123BS	12h17m23s +14° 35'	3	Swift	 	y	 	 	 	 
181121AS	00h57m42s -11° 59'	468*29	Agile	 	 	 	 	 	 
181120A	01h21m31s +04° 10'	60	Fermi	 	 	 	 	 	 
181110A	20h09m22s -36° 54'	3	Swift	y	y	y	 	 	1.505
181103A	13h08m26s +52° 14'	3	Swift	 	y	y	 	 	 
181030A	09h47m41s +14° 40'	3	Swift	 	y	y	 	 	 
181028A	05h55m33s -21° 10'	12	Fermi	y	 	 	 	 	 
181027A	15h01m32s +30° 53'	3	Swift	y	 	 	 	 	 
181023A	16h33m19s +19° 34'	3	Swift	 	y	 	 	 	 
181022A	03h47m11s -29° 20'	3	Swift	 	y	 	 	 	 
181020A	00h55m52s -47° 23'	3	Swift	y	y	y	 	 	2.938
181016A	15h25m04s -35° 17'	3	Swift	 	 	 	 	 	 
181013A	13h50m24s +40° 11'	3	Swift	 	y	 	 	 	 
181011A	06h13m21s +20° 23'	16*11	MAXI	y	 	 	 	 	 
181010A	03h30m14s -23° 02'	3	Swift	y	y	y	 	 	1.39
181003A	03h30m17s -34° 01'	3	Swift	 	y	 	 	 	 
181002A	04h18m57s +15° 14'	3	Swift	 	y	 	 	 	 
180930A	05h07m29s -25° 08'	3	Swift	 	y	 	 	 	 
180925A	21h00m51s -64° 27'	3	Swift	y	y	y	 	 	 
180924A	03h16m39s -58° 30'	3	Swift	 	y	 	 	 	 
180923A	02h33m13s +06° 18'	60	MAXI	y	 	 	 	 	 
180914B	22h09m48s +24° 53'	20	AGILE	y	y	y	 	 	1.096
180914A	03h30m58s -05° 16'	24	Fermi	y	 	 	 	 	 
180905A	06h04m08s -04° 35'	3	Swift	 	y	 	 	 	 
180904A	18h17m00s +46° 37'	3	Swift	 	y	 	 	 	 
180829A	04h06m54s -01° 59'	22*17	MAXI	 	 	 	 	 	 
180828A	17h54m48s -25° 48'	3	Swift	y	y	 	 	 	 
180824AS	00h40m14s +56° 37'	3	IPN	y	 	 	 	 	 
180823A	14h01m24s +14° 53'	3	Swift	 	y	 	 	 	 
180821A	00h31m03s -38° 37'	3	Swift	 	y	 	 	 	 
180818B	06h56m56s +39° 20'	3	Swift	y	y	y?	 	 	 
180818A	11h18m27s -48° 21'	3	Swift	 	y	 	 	 	 
180812A	16h23m33s +74° 40'	3	Swift	y	y	y	 	 	 
180809B	19h58m48s -15° 18'	3	Swift	y	y	y	 	 	 
180809A	19h51m10s -34° 40'	8	MAXI	y	y	 	 	 	 
180806A	00h46m13s +24° 20'	280	Fermi	y	y	y	 	 	 
180805BS	01h43m15s -17° 30'	3	Swift	y	y	 	 	 	 
180805A	11h10m07s -45° 20'	3	Swift	 	y	 	 	 	 
180728BS	14h48m19s +15° 57'	564*19	IPN	y	 	 	 	 	 
180728A	16h54m17s -54° 02'	3	Swift	y	y	y	 	 	0.117
180727A	23h06m40s -63° 03'	3	Swift	y	y	 	 	 	 
180722A	20h11m34s +24° 13'	13*11	MAXI	 	 	 	 	 	 
180721A	23h10m47s +04° 53'	3	Swift	 	y	 	 	 	 
180720C	17h42m30s -26° 35'	3	Swift	y	y	 	 	 	 
180720B	00h02m07s -02° 56'	3	Swift	y	y	y	y	 	0.654
180718B	02h58m43s -31° 30'	39	Fermi	y	 	 	 	 	 
180718AS	22h24m05s +02° 47'	3	IPN	y	 	 	 	 	 
180715AS	15h40m17s +15° 38'	3	Swift	y	 	 	 	 	 
180714A	16h11m38s +33° 16'	3.1	INTEGRAL	 	 	 	 	 	 
180709A	02h32m28s +60° 21'	3	Swift	y	 	 	 	 	 
180706A	12h06m40s +66° 02'	3	Swift	y	y	y	 	 	 
180705A	14h10m23s -11° 38'	3	Swift	 	y	 	 	 	 
180704A	02h10m33s +69° 57'	3	Swift	y	y	 	 	 	 
180703BS	06h27m41s -29° 53'	24	Fermi	y	 	 	 	 	 
180703A	00h26m10s -67° 05'	18	Fermi	y	y	y	 	 	0.6678
180701A	21h19m40s -04° 30'	20	MAXI	y	 	 	 	 	 
180630A	03h15m14s -87° 29'	3	Swift	y	y	y	 	 	 
180626CS	18h34m19s +47° 14'	1130*22	IPN	y	 	 	 	 	 
180626BS	14h18m13s +12° 25'	1030*29	IPN	y	 	 	 	 	 
180626A	16h14m16s +14° 45'	3	Swift	y	y	y	 	 	 
180624A	21h12m17s -02° 20'	3	Swift	 	y	y	 	 	2.855
180623A	14h18m03s -60° 18'	3	Swift	y	y	y	 	 	 
180620B	23h50m04s -57° 57'	3	Swift	y	y	y	 	 	1.1175
180620A	18h39m32s +23° 16'	3	Swift	y	y	y	 	 	 
180618AS	11h19m45s +73° 51'	3	Swift	y	y	y	 	 	 
180614A	00h12m38s +46° 57'	3	Swift	 	y	 	 	 	 
180613A	14h06m15s -43° 05'	3	Swift	 	y	y	 	 	 
180611A	03h05m53s -48° 50'	672*54	IPN	y	 	 	 	 	 
180605A	03h10m02s -48° 39'	140*29	IPN	y	 	 	 	 	 
180602A	09h29m21s +32° 06'	3	Swift	 	y	 	 	 	 
180529AS	06h31m47s -54° 54'	85*33	Agile	y	 	 	 	 	 
180526A	07h14m18s +03° 41'	118*60	IPN	y	 	 	 	 	 
180514A	13h09m36s +36° 58'	3	Swift	 	y	y	 	 	 
180512A	13h27m49s +21° 24'	3	Swift	 	y	 	 	 	 
180510B	05h11m57s -62° 20'	3	Swift	 	y	y	 	 	1.305
180510A	18h25m16s -31° 55'	3	Swift	y	y	 	 	 	 
180504A	22h04m34s -14° 40'	3	Swift	 	y	 	 	 	 
180427A	18h04m03s +68° 27'	173*37	IPN	y	 	 	 	 	 
180425A	04h17m53s -32° 57'	3	Swift	 	y	 	 	 	 
180418A	11h20m27s +24° 57'	3	Swift	y	y	y	 	 	 
180411A	23h47m19s +66° 47'	3	Swift	y	y	 	 	 	 
180410A	06h23m56s +12° 48'	3	Swift	y	y	 	 	 	 
180409A	11h43m22s +36° 18'	49*19	IPN	y	y	 	 	 	 
180407A	02h20m58s +33° 30'	3	Swift	 	 	 	 	 	 
180404C	06h09m13s +07° 49'	340*80	IPN	y	 	 	 	 	 
180404B	03h33m32s -50° 12'	3	Swift	y	y	y	 	 	 
180404A	05h34m15s -37° 10'	3	Swift	 	y	y	 	 	1.000
180402AS	16h47m37s -14° 58'	3	Swift	y	y	 	 	 	 
180331B	13h07m17s +61° 43'	3	Swift	 	y	 	 	 	 
180331A	04h24m04s +13° 24'	3	Swift	 	y	 	 	 	 
180329B	05h31m40s -23° 42'	3	Swift	 	y	y	 	 	1.998
180329A	21h57m11s -15° 04'	3	Swift	 	 	 	 	 	 
180326A	19h26m55s -13° 33'	182*47	IPN	y	 	 	 	 	 
180325A	10h29m44s +24° 26'	3	Swift	y	y	y	 	 	2.248
180324A	05h06m20s +56° 43'	3	Swift	y	y	 	 	 	 
180318A	12h01m22s +33° 56'	230*18	IPN	y	 	 	 	 	 
180317A	06h08m47s +23° 10'	130*10	IPN	y	 	 	 	 	 
180316A	17h41m45s +00° 44'	3	Swift	y	y	y	 	 	 
180314B	19h51m28s +23° 37'	3	Swift	 	y	 	 	 	 
180314A	06h37m06s -24° 29'	3	Swift	y	y	y	 	 	 
180311A	00h13m44s -54° 29'	3	Swift	 	y	 	 	 	 
180305A	03h18m41s +32° 06'	6.6	Fermi	y	y	y	 	 	 
180224A	13h30m39s +38° 05'	3	Swift	 	y	y	 	 	 
180222A	17h06m17s -36° 48'	3	Swift	y	y	 	 	 	 
180210A	00h07m12s +18° 21'	11	Fermi	y	y	 	 	 	 
180205A	08h27m17s +11° 33'	3	Swift	y	y	y	 	 	1.409
180204AS	22h00m28s +30° 51'	3	Swift	y	y	 	 	 	 
180116A	14h22m37s +18° 58'	8*7	MAXI	y	 	 	 	 	 
180115A	00h48m18s -15° 36'	3	Swift	 	y	y	 	 	2.487?
180113C	11h41m12s -63° 16'	160*14	IPN	y	 	 	 	 	 
180113B	00h26m47s +24° 01'	384*35	IPN	y	 	 	 	 	 
180113A	01h16m52s +68° 41'	3	Swift	y	 	 	 	 	 
180111A	09h59m22s +48° 16'	3	Swift	y	y	y	 	 	 
180103A	10h38m20s -53° 33'	3	Swift	y	y	 	 	 	 
180102A	13h32m28s +62° 09'	3	Swift	y	y	 	 	 	 
171222A	09h53m10s +35° 37'	3	Swift	y	y	y	 	 	2.409
171216B	22h40m16s +52° 03'	24*10	IPN	y	 	 	 	 	 
171216A	14h08m19s -50° 28'	3	Swift	 	y	 	 	 	 
171212B	02h37m46s -70° 37'	23	Fermi	y	 	 	 	 	 
171212A	19h35m36s +20° 34'	3	Swift	y	y	 	 	 	 
171211A	06h32m26s -58° 40'	3	Swift	 	y	 	 	 	 
171210A	22h21m14s +24° 26'	10	Fermi	y	 	 	 	 	 
171209A	09h17m32s -30° 32'	3	Swift	y	y	y	 	 	 
171205A	11h09m47s -12° 36'	3	Swift	y	y	y	y	 	0.0368
171124A	22h22m05s +35° 13'	12	Fermi	y	y	 	 	 	 
171123A	12h24m46s +32° 32'	3	Swift	 	y	y	 	 	 
171120A	10h55m09s +22° 27'	3	Swift	y	y	 	 	 	 
171119A	09h01m16s -50° 17'	250*8	IPN	y	 	 	 	 	 
171115A	18h33m39s +09° 08'	3	Swift	 	y	 	 	 	 
171112A	01h20m18s -59° 38'	60	MAXI	y	 	 	 	 	 
171103AS	16h38m09s -10° 13'	3	Swift	y	y	 	 	 	 
171102B	19h12m25s +22° 26'	3	Swift	 	y	 	 	 	 
171102A	12h30m55s +54° 02'	49	Fermi	y	 	 	 	 	 
171027A	04h06m43s -02° 36'	3	Swift	y	y	 	 	 	 
171022A	14h21m25s +12° 51'	1314*12	IPN	y	 	 	 	 	 
171020A	02h37m03s +15° 11'	3	Swift	 	y	y	 	 	1.87
171011A	15h47m03s -10° 04'	3	Swift	 	 	 	 	 	 
171010B	02h16m30s -54° 25'	3	Swift	y	y	 	 	 	 
171010A	04h26m58s -10° 32'	14	Fermi	y	y	y	y	 	0.3285
171007A	09h02m10s +42° 51'	3	Swift	y	y	 	 	 	 
171004A	09h16m39s +52° 41'	3	Swift	 	y	?	 	 	 
171001A	01h28m21s -11° 54'	3	Swift	 	y	y	 	 	 
170921B	08h49m30s +57° 03'	2250*14	IPN	y	 	 	 	 	 
170921A	01h47m24s +30° 52'	3	Swift	y	y	 	n	 	 
170912B	14h21m52s -62° 02'	3	Swift	y	y	 	 	 	 
170912A	11h09m29s -54° 22'	3	Swift	 	y	 	 	 	 
170911A	04h48m23s +30° 55'	23*19	MAXI	y	 	 	 	 	 
170906C	08h34m49s +70° 47'	3	Swift	y	y	 	n	 	 
170906B	15h28m53s -28° 15'	3	Swift	y	y	 	 	 	 
170906A	13h35m58s -47° 07'	3	Swift	y	y	y	 	 	 
170904A	02h21m30s -32° 30'	13*192	IPN	y	 	 	 	 	 
170903A	16h58m03s +34° 59'	3	Swift	y	y	 	n	 	0.886?
170830A	17h48m58s -02° 00'	5*3	MAXI	y	 	 	 	 	 
170827A	18h24m43s -40° 13'	3	Swift	 	y	 	 	 	 
170826B	22h05m02s -33° 54'	180*20	Fermi	 	 	 	n	 	 
170823A	12h34m53s +35° 35'	3	Swift	 	 	 	n	 	 
170822A	06h17m32s +55° 01'	3	Swift	y	y	y	n	 	 
170817AS	12h47m00s -39° 48'	700	Fermi	y	y	y	y	 	0.009783
170816A	23h23m22s +12° 51'	139*19	IPN	y	 	 	 	 	 
170813A	13h24m13s -05° 28'	3	Swift	y	y	 	 	 	 
170810A	12h31m48s +03° 39'	3	Swift	y	y	y	y	 	 
170808B	09h42m38s +02° 11'	20	Fermi	y	 	 	 	 	 
170808A	10h30m15s -28° 17'	20	MAXI	 	 	 	 	 	 
170807A	09h33m31s -17° 20'	3	Swift	 	 	 	 	 	 
170805AS	17h56m56s -18° 19'	276*9	IPN	y	 	 	 	 	 
170804A	00h25m44s -64° 45'	3	Swift	 	y	y	 	 	 
170803A	11h39m48s -16° 19'	3	Swift	y	y	y	 	 	 
170730A	16h21m12s -60° 53'	3	INTEGRAL	 	 	 	 	 	 
170728B	15h52m11s +70° 09'	3	Swift	y	y	y	n	 	 
170728A	03h55m35s +12° 09'	3	Swift	 	y	y	n	 	 
170724A	10h17m17s +01° 59'	3	Swift	y	 	 	 	 	 
170714A	02h17m17s +01° 59'	3	Swift	 	y	y	y	 	0.793
